Bucket,Total_Abs_SHAP,Mean_Abs_SHAP,N_Features
Lag-1,0.10305376270619715,0.051526881353098575,2
Static,0.0799618795914186,0.0022846251311833886,35
Telemetry,0.0064614474289274035,0.0007179386032141559,9
Cluster,0.006258062081331554,0.00036812129890185613,17
Lag-2,0.0021496950213521476,0.0021496950213521476,1
Rolling-3,0.0006366755856877303,0.0006366755856877303,1
