Race,Feature,Mean_Abs_SHAP
2022_Baku,Driver_Encoded,0.0002290927105247299
2022_Baku,Location_Encoded,0.0
2022_Baku,Team_Encoded,0.00012733042278720787
2022_Baku,Mean_Apex_Speed_Ratio,0.0
2022_Baku,Std_Apex_Speed_Ratio,0.0014913700617303052
2022_Baku,Mean_Brake_Fraction,0.003943946422262904
2022_Baku,Std_Brake_Fraction,0.005953427583373263
2022_Baku,Mean_Brake_Point_Norm,0.00045760744345703743
2022_Baku,Std_Brake_Point_Norm,0.00042176086860652625
2022_Baku,Mean_Throttle_On_Dist_Norm,0.00036360365821476556
2022_Baku,Std_Throttle_On_Dist_Norm,0.003273993410748555
2022_Baku,Mean_Throttle_Integral_Norm,0.00021731330653843478
2022_Baku,Std_Throttle_Integral_Norm,0.0007613221959390698
2022_Baku,Mean_Speed_Variability,0.006405998038161022
2022_Baku,Std_Speed_Variability,0.003821516256132072
2022_Baku,P_0,0.0
2022_Baku,P_1,0.0013799405842111693
2022_Baku,P_2,0.00022748601505112105
2022_Baku,Style_Cluster_ID,0.0
2022_Baku,Style_Entropy,0.000813855822976927
2022_Baku,Year,0.0
2022_Baku,Tyre_Compound_Interaction,0.000686164002223965
2022_Montréal,LapNumber,0.0037140108941898665
2022_Montréal,Stint,0.00473196644343247
2022_Montréal,TyreLife,0.0011000045668075086
2022_Montréal,Position,0.031342356408956204
2022_Montréal,AirTemp,0.0008597106736188349
2022_Montréal,Humidity,0.04787129579435114
2022_Montréal,Pressure,0.001807119572432714
2022_Montréal,TrackTemp,0.0017936980869324329
2022_Montréal,WindDirection,0.002315650259201967
2022_Montréal,WindSpeed,0.0009351692456472505
2022_Montréal,FuelLoad,0.00899440373548144
2022_Montréal,Track_Evolution,0.002048340452507782
2022_Montréal,Cumulative_Field_Dist_KM,0.005700712595539319
2022_Montréal,Lap_Damage,0.0
2022_Montréal,LatOffset_Mean,0.00017374834172508957
2022_Montréal,Accumulated_Tyre_Wear,0.00022662358563938713
2022_Montréal,LatOffset_Std,0.0017794164280199479
2022_Montréal,Energy_Lap,0.0001521607989351869
2022_Montréal,Gap_To_Car_Ahead,0.00046647320533444066
2022_Montréal,Dirty_Air_Fraction,0.00022904754618331664
2022_Montréal,Aero_Loss,0.0011328689469187305
2022_Montréal,DRS_Fraction,0.00035479399136903374
2022_Montréal,Traction_1_5,0.0005657866016690413
2022_Montréal,Asphalt_Grip_1_5,0.0
2022_Montréal,Asphalt_Abrasion_1_5,0.0015984922287008813
2022_Montréal,Track_Evolution_1_5,0.0
2022_Montréal,Tyre_Stress_1_5,0.0
2022_Montréal,Braking_1_5,0.0005321830972134987
2022_Montréal,Lateral_1_5,0.0
2022_Montréal,Downforce_1_5,0.0
2022_Montréal,Min_Pressure_Front_PSI,0.0005692631828279951
2022_Montréal,Min_Pressure_Rear_PSI,0.0
2022_Montréal,Circuit_Length_KM,0.0
2022_Montréal,Compound_Int,0.00045231016894049423
2022_Montréal,Wear_Severity_Index,0.00026173440208914406
2022_Montréal,Track_Flow_Type,0.0
2022_Montréal,Grip_Aero_Balance,0.0
2022_Montréal,Total_Min_Pressure,0.0
2022_Montréal,Pressure_Delta,0.0
2022_Montréal,Prev_LapTime,0.0016458053062824093
2022_Montréal,Lag_2,9.664432735311315e-05
2022_Montréal,Rolling_Avg_3,0.0007403466424122683
2022_Montréal,Prev_Delta,0.08930013724101224
2022_Montréal,Driver_Encoded,0.00014441370200655892
2022_Montréal,Location_Encoded,0.0
2022_Montréal,Team_Encoded,0.00023083678291749296
2022_Montréal,Mean_Apex_Speed_Ratio,0.0
2022_Montréal,Std_Apex_Speed_Ratio,0.0004988635075411657
2022_Montréal,Mean_Brake_Fraction,0.002967013603078027
2022_Montréal,Std_Brake_Fraction,0.0029017979246059246
2022_Montréal,Mean_Brake_Point_Norm,0.008152163760376639
2022_Montréal,Std_Brake_Point_Norm,0.0037798475667621396
2022_Montréal,Mean_Throttle_On_Dist_Norm,0.0006082979261423601
2022_Montréal,Std_Throttle_On_Dist_Norm,0.001280125600975365
2022_Montréal,Mean_Throttle_Integral_Norm,0.0003988119062240647
2022_Montréal,Std_Throttle_Integral_Norm,0.002899572578613937
2022_Montréal,Mean_Speed_Variability,0.007603868649774349
2022_Montréal,Std_Speed_Variability,0.0007895710420359218
2022_Montréal,P_0,0.0002329992672180153
2022_Montréal,P_1,0.0013273229581538435
2022_Montréal,P_2,0.0012887175167527725
2022_Montréal,Style_Cluster_ID,0.0
2022_Montréal,Style_Entropy,0.00015733074069708774
2022_Montréal,Year,0.0
2022_Montréal,Tyre_Compound_Interaction,0.0010342972539984668
2022_Silverstone,LapNumber,0.00016136956587548036
2022_Silverstone,Stint,0.0
2022_Silverstone,TyreLife,0.00017366902294710336
2022_Silverstone,Position,0.021130566641025174
2022_Silverstone,AirTemp,0.00020946596914007758
2022_Silverstone,Humidity,0.0008595072887593479
2022_Silverstone,Pressure,0.002777699365637907
2022_Silverstone,TrackTemp,0.0014166605058290103
2022_Silverstone,WindDirection,0.002239630529456687
2022_Silverstone,WindSpeed,0.001961556622604312
2022_Silverstone,FuelLoad,0.012837392275661786
2022_Silverstone,Track_Evolution,0.0013656075126963587
2022_Silverstone,Cumulative_Field_Dist_KM,0.003101034506432184
2022_Silverstone,Lap_Damage,0.0021557865207414355
2022_Silverstone,LatOffset_Mean,2.2968515960387212e-05
2022_Silverstone,Accumulated_Tyre_Wear,0.0002794870796825464
2022_Silverstone,LatOffset_Std,0.0003483738342292234
2022_Silverstone,Energy_Lap,0.0012756529118889103
2022_Silverstone,Gap_To_Car_Ahead,0.0028697755596837865
2022_Silverstone,Dirty_Air_Fraction,2.3425814585035242e-05
2022_Silverstone,Aero_Loss,0.00043697216128866373
2022_Silverstone,DRS_Fraction,0.0
2022_Silverstone,Traction_1_5,0.0
2022_Silverstone,Asphalt_Grip_1_5,0.0
2022_Silverstone,Asphalt_Abrasion_1_5,0.019045172247546434
2022_Silverstone,Track_Evolution_1_5,0.0
2022_Silverstone,Tyre_Stress_1_5,0.0
2022_Silverstone,Braking_1_5,0.0
2022_Silverstone,Lateral_1_5,0.0
2022_Silverstone,Downforce_1_5,0.0
2022_Silverstone,Min_Pressure_Front_PSI,0.002564399368401672
2022_Silverstone,Min_Pressure_Rear_PSI,0.0
2022_Silverstone,Circuit_Length_KM,0.0
2022_Silverstone,Compound_Int,0.001037293337380265
2022_Silverstone,Wear_Severity_Index,0.0008607908340283049
2022_Silverstone,Track_Flow_Type,0.0
2022_Silverstone,Grip_Aero_Balance,0.0
2022_Silverstone,Total_Min_Pressure,0.0
2022_Silverstone,Pressure_Delta,0.0
2022_Silverstone,Prev_LapTime,0.00130708721026082
2022_Silverstone,Lag_2,0.0
2022_Silverstone,Rolling_Avg_3,0.00037362674575090987
2022_Silverstone,Prev_Delta,0.10784831584880206
2022_Silverstone,Driver_Encoded,0.0
2022_Silverstone,Location_Encoded,0.00048627734848600597
2022_Silverstone,Team_Encoded,0.0008385456026599366
2022_Silverstone,Mean_Apex_Speed_Ratio,0.00031086786431529814
2022_Silverstone,Std_Apex_Speed_Ratio,0.0002180764929683758
2022_Silverstone,Mean_Brake_Fraction,0.0015235484650277945
2022_Silverstone,Std_Brake_Fraction,0.0030479134539501645
2022_Silverstone,Mean_Brake_Point_Norm,5.3607744312824845e-05
2022_Silverstone,Std_Brake_Point_Norm,0.0007553398520149593
2022_Silverstone,Mean_Throttle_On_Dist_Norm,0.00203768723636666
