Features,MAE,RMSE,R2,MAPE
With clustering,0.3339572428929509,0.5531880437147111,0.9972814729056656,0.3810586346087012
Without clustering,0.33418996341883617,0.553881135522521,0.9972746565283624,0.3813232291963883
