Feature,Importance
Prev_Delta,0.7882660603154894
Lap_Damage,0.02245342103784791
Position,0.015419528590641045
LapNumber,0.014317840526569082
FuelLoad,0.013355601179184325
TrackTemp,0.01267427884432002
Prev_LapTime,0.008335632474880676
Humidity,0.00814334679331013
Cumulative_Field_Dist_KM,0.008057204674841847
TyreLife,0.00680704663800115
Grip_Aero_Balance,0.006771768276673207
Lag_2,0.00647006699476004
AirTemp,0.005595132743461378
Track_Evolution,0.005219462740758604
Tyre_Compound_Interaction,0.005153531523537685
Total_Min_Pressure,0.004119344749616768
Accumulated_Tyre_Wear,0.0040661305136521384
Pressure,0.003991546081219935
Mean_Brake_Point_Norm,0.0034154714810483
Rolling_Avg_3,0.0031533437615963887
Circuit_Length_KM,0.003025778977785644
Std_Brake_Fraction,0.0025645724256171338
Energy_Lap,0.0021079152267232506
P_1,0.0020806404600958238
Asphalt_Abrasion_1_5,0.001961355568081219
Std_Speed_Variability,0.0019457891229069087
Mean_Brake_Fraction,0.0019025613549038967
Dirty_Air_Fraction,0.001892973243256167
WindDirection,0.0018876504690661274
Aero_Loss,0.0018681720416283884
Wear_Severity_Index,0.0018608805546009926
Asphalt_Grip_1_5,0.0016828297733881856
Std_Throttle_On_Dist_Norm,0.001516664407389368
Driver_Encoded,0.0015030196242347051
WindSpeed,0.0015012246423485457
Gap_To_Car_Ahead,0.0014956476991424298
P_0,0.0014712761662387345
Mean_Apex_Speed_Ratio,0.0013866371910816993
Std_Brake_Point_Norm,0.0013176028282609396
Min_Pressure_Rear_PSI,0.001270122273610412
DRS_Fraction,0.001258913568967466
LatOffset_Std,0.001241087930817158
Location_Encoded,0.0012129279068405095
Mean_Throttle_Integral_Norm,0.0011701968011816363
Min_Pressure_Front_PSI,0.0011480558899843204
P_2,0.000997926261782004
LatOffset_Mean,0.0009670739705695014
Std_Throttle_Integral_Norm,0.0009344298083121548
Style_Entropy,0.0009042037298498271
Mean_Speed_Variability,0.0008941839193968968
Year,0.0008855030058738451
Stint,0.000783018105500213
Pressure_Delta,0.0007825784987936891
Tyre_Stress_1_5,0.0007770863652002634
Mean_Throttle_On_Dist_Norm,0.0007503087667942611
Compound_Int,0.0007029376997671149
Std_Apex_Speed_Ratio,0.0006745071758485099
Track_Flow_Type,0.0006020638531848857
Team_Encoded,0.0003110657581695793
Downforce_1_5,0.00025865587688218107
Track_Evolution_1_5,0.00024631045053671635
Style_Cluster_ID,0.00018510156962972085
Braking_1_5,0.0001697149605751148
Lateral_1_5,6.72572038647712e-05
Traction_1_5,4.581692990702869e-05
