Year,RoundNumber,Location,Location_Encoded,Driver,LapNumber,Stint,Compound,Actual,Predicted,Error
2022,6,Barcelona,2,ALO,65.0,4.0,SOFT,88.27,88.35788601515374,0.08788601515374794
2022,6,Barcelona,2,BOT,5.0,1.0,SOFT,88.999,89.40068799493207,0.4016879949320713
2022,6,Barcelona,2,BOT,6.0,1.0,SOFT,88.984,89.61977128385088,0.6357712838508907
2022,6,Barcelona,2,BOT,13.0,1.0,SOFT,89.267,89.92017225692987,0.6531722569298719
2022,6,Barcelona,2,BOT,19.0,2.0,MEDIUM,88.389,88.85827268648018,0.4692726864801769
2022,6,Barcelona,2,BOT,20.0,2.0,MEDIUM,88.55,88.86517658980918,0.31517658980918295
2022,6,Barcelona,2,BOT,21.0,2.0,MEDIUM,88.613,88.960358920455,0.3473589204549985
2022,6,Barcelona,2,BOT,22.0,2.0,MEDIUM,88.189,88.98691157344567,0.7979115734456761
2022,6,Barcelona,2,BOT,23.0,2.0,MEDIUM,88.803,88.86455259367293,0.061552593672924316
2022,6,Barcelona,2,BOT,24.0,2.0,MEDIUM,88.563,89.05771322015055,0.49471322015054486
2022,6,Barcelona,2,BOT,25.0,2.0,MEDIUM,88.699,89.05109377148955,0.3520937714895518
2022,6,Barcelona,2,BOT,26.0,2.0,MEDIUM,88.576,89.03130438203573,0.45530438203573054
2022,6,Barcelona,2,BOT,27.0,2.0,MEDIUM,88.508,89.08337240059029,0.5753724005902936
2022,6,Barcelona,2,BOT,28.0,2.0,MEDIUM,89.057,88.91759843139691,0.13940156860309644
2022,6,Barcelona,2,BOT,29.0,2.0,MEDIUM,88.695,89.09259371792608,0.3975937179260908
2022,6,Barcelona,2,BOT,30.0,2.0,MEDIUM,88.692,89.01178859626697,0.3197885962669797
2022,6,Barcelona,2,BOT,31.0,2.0,MEDIUM,89.25,89.03544441344613,0.21455558655387058
2022,6,Barcelona,2,BOT,32.0,2.0,MEDIUM,88.803,89.21601090924892,0.41301090924892564
2022,6,Barcelona,2,BOT,33.0,2.0,MEDIUM,89.322,89.09246964228365,0.2295303577163586
2022,6,Barcelona,2,BOT,40.0,3.0,MEDIUM,87.449,88.08836536033834,0.6393653603383505
2022,6,Barcelona,2,BOT,41.0,3.0,MEDIUM,88.315,88.08922884385055,0.22577115614944754
2022,6,Barcelona,2,BOT,42.0,3.0,MEDIUM,87.646,88.44521033380659,0.7992103338065897
2022,6,Barcelona,2,BOT,43.0,3.0,MEDIUM,88.174,88.39339829474036,0.21939829474035855
2022,6,Barcelona,2,BOT,44.0,3.0,MEDIUM,87.999,88.55843342122377,0.5594334212237682
2022,6,Barcelona,2,BOT,45.0,3.0,MEDIUM,88.259,88.39344536109311,0.13444536109311878
2022,6,Barcelona,2,BOT,46.0,3.0,MEDIUM,88.512,88.47535845193204,0.036641548067957636
2022,6,Barcelona,2,BOT,47.0,3.0,MEDIUM,88.374,88.5510099304335,0.17700993043349406
2022,6,Barcelona,2,BOT,48.0,3.0,MEDIUM,88.364,88.59344410389866,0.22944410389865655
2022,6,Barcelona,2,BOT,49.0,3.0,MEDIUM,88.448,88.56179396507058,0.11379396507058469
2022,6,Barcelona,2,BOT,50.0,3.0,MEDIUM,88.275,88.57493076983516,0.29993076983516287
2022,6,Barcelona,2,BOT,51.0,3.0,MEDIUM,88.13,88.50891533599474,0.37891533599474225
2022,6,Barcelona,2,BOT,52.0,3.0,MEDIUM,88.684,88.41725390175172,0.2667460982482773
2022,6,Barcelona,2,BOT,53.0,3.0,MEDIUM,89.717,88.64258494485335,1.0744150551466496
2022,6,Barcelona,2,BOT,54.0,3.0,MEDIUM,87.948,89.19096637827984,1.2429663782798497
2022,6,Barcelona,2,BOT,55.0,3.0,MEDIUM,87.842,88.73144404708961,0.8894440470896103
2022,6,Barcelona,2,BOT,56.0,3.0,MEDIUM,87.657,88.43384853025331,0.7768485302533158
2022,6,Barcelona,2,BOT,57.0,3.0,MEDIUM,88.149,88.18996664486602,0.04096664486601914
2022,6,Barcelona,2,BOT,58.0,3.0,MEDIUM,90.459,88.36998374795566,2.089016252044345
2022,6,Barcelona,2,BOT,59.0,3.0,MEDIUM,88.471,89.39962681700743,0.9286268170074228
2022,6,Barcelona,2,BOT,60.0,3.0,MEDIUM,88.522,89.09338628279002,0.5713862827900164
2022,6,Barcelona,2,BOT,61.0,3.0,MEDIUM,88.748,88.96759929508863,0.2195992950886237
2022,6,Barcelona,2,BOT,62.0,3.0,MEDIUM,89.055,88.85523430561749,0.19976569438251668
2022,6,Barcelona,2,BOT,63.0,3.0,MEDIUM,88.844,89.04705391975646,0.20305391975647022
2022,6,Barcelona,2,BOT,64.0,3.0,MEDIUM,89.289,89.04926473396779,0.23973526603220946
2022,6,Barcelona,2,BOT,65.0,3.0,MEDIUM,89.97,89.27967486041143,0.690325139588564
2022,6,Barcelona,2,BOT,66.0,3.0,MEDIUM,90.378,89.59822233815902,0.7797776618409796
2022,6,Barcelona,2,GAS,5.0,1.0,SOFT,89.981,90.31503014146827,0.33403014146827303
2022,6,Barcelona,2,GAS,6.0,1.0,SOFT,89.945,90.31828001518429,0.3732800151842886
2022,6,Barcelona,2,GAS,16.0,2.0,MEDIUM,89.868,89.98767340788757,0.11967340788757225
2022,6,Barcelona,2,GAS,17.0,2.0,MEDIUM,89.961,90.18951039116953,0.22851039116953428
2022,6,Barcelona,2,GAS,18.0,2.0,MEDIUM,90.089,90.2107465275879,0.12174652758789736
2022,6,Barcelona,2,GAS,19.0,2.0,MEDIUM,90.447,90.38963606124216,0.05736393875783957
2022,6,Barcelona,2,GAS,20.0,2.0,MEDIUM,90.364,90.40330191622519,0.03930191622518562
2022,6,Barcelona,2,GAS,21.0,2.0,MEDIUM,90.531,90.57219404579757,0.041194045797568135
2022,6,Barcelona,2,GAS,22.0,2.0,MEDIUM,91.754,90.66601896847475,1.0879810315252534
2022,6,Barcelona,2,GAS,23.0,2.0,MEDIUM,90.36,91.05430026453271,0.6943002645327204
2022,6,Barcelona,2,GAS,24.0,2.0,MEDIUM,90.532,90.77579809516041,0.24379809516040812
2022,6,Barcelona,2,GAS,25.0,2.0,MEDIUM,90.252,90.71271639731718,0.46071639731717823
2022,6,Barcelona,2,GAS,26.0,2.0,MEDIUM,90.82,90.5852929735922,0.23470702640778812
2022,6,Barcelona,2,GAS,27.0,2.0,MEDIUM,91.82,90.57484611823266,1.245153881767342
2022,6,Barcelona,2,GAS,28.0,2.0,MEDIUM,90.191,91.07138813395609,0.8803881339560927
2022,6,Barcelona,2,GAS,35.0,3.0,SOFT,88.136,89.22370145774812,1.087701457748126
2022,6,Barcelona,2,GAS,36.0,3.0,SOFT,88.448,89.21666293070999,0.7686629307099877
2022,6,Barcelona,2,GAS,37.0,3.0,SOFT,88.327,89.16898220459512,0.8419822045951227
2022,6,Barcelona,2,GAS,38.0,3.0,SOFT,88.808,89.15148543985924,0.343485439859241
2022,6,Barcelona,2,GAS,39.0,3.0,SOFT,88.632,89.5132089291904,0.8812089291903988
2022,6,Barcelona,2,GAS,40.0,3.0,SOFT,88.617,89.39106832130528,0.77406832130528
2022,6,Barcelona,2,GAS,41.0,3.0,SOFT,90.683,89.35945176044874,1.3235482395512759
2022,6,Barcelona,2,GAS,42.0,3.0,SOFT,88.748,90.20032511345339,1.4523251134533792
2022,6,Barcelona,2,GAS,43.0,3.0,SOFT,88.986,89.83727481616131,0.8512748161613111
2022,6,Barcelona,2,GAS,44.0,3.0,SOFT,88.985,89.56904682000416,0.5840468200041574
2022,6,Barcelona,2,GAS,45.0,3.0,SOFT,90.422,89.55184714915916,0.8701528508408377
2022,6,Barcelona,2,GAS,52.0,4.0,SOFT,86.998,88.3457405295594,1.347740529559394
2022,6,Barcelona,2,GAS,53.0,4.0,SOFT,87.009,88.37070141220883,1.3617014122088313
2022,6,Barcelona,2,GAS,54.0,4.0,SOFT,87.275,88.30109763975064,1.0260976397506374
2022,6,Barcelona,2,GAS,55.0,4.0,SOFT,89.596,88.44233751037994,1.153662489620067
2022,6,Barcelona,2,GAS,56.0,4.0,SOFT,89.681,89.43794356323797,0.24305643676203242
2022,6,Barcelona,2,GAS,57.0,4.0,SOFT,88.002,89.82473355625508,1.8227335562550904
2022,6,Barcelona,2,GAS,58.0,4.0,SOFT,87.911,89.29755957689888,1.3865595768988745
2022,6,Barcelona,2,GAS,59.0,4.0,SOFT,88.154,88.91265709106229,0.758657091062295
2022,6,Barcelona,2,GAS,60.0,4.0,SOFT,88.3,89.07395533699403,0.7739553369940424
2022,6,Barcelona,2,GAS,61.0,4.0,SOFT,88.145,89.01430311072865,0.8693031107286501
2022,6,Barcelona,2,GAS,62.0,4.0,SOFT,88.352,89.05752179375357,0.705521793753559
2022,6,Barcelona,2,GAS,63.0,4.0,SOFT,88.873,89.08487003812117,0.21187003812116012
2022,6,Barcelona,2,GAS,64.0,4.0,SOFT,89.664,89.28553358134481,0.378466418655196
2022,6,Barcelona,2,GAS,65.0,4.0,SOFT,88.352,89.4363026912071,1.0843026912071019
2022,6,Barcelona,2,HAM,17.0,2.0,SOFT,89.873,90.40299005165737,0.529990051657361
2022,6,Barcelona,2,HAM,18.0,2.0,SOFT,90.181,90.56632239005984,0.38532239005983493
2022,6,Barcelona,2,HAM,19.0,2.0,SOFT,90.07,90.84465710597506,0.7746571059750665
2022,6,Barcelona,2,HAM,20.0,2.0,SOFT,90.443,90.87896688827645,0.43596688827644775
2022,6,Barcelona,2,HAM,21.0,2.0,SOFT,90.48,91.00353316305353,0.5235331630535341
2022,6,Barcelona,2,HAM,28.0,3.0,MEDIUM,86.99,88.48964057482597,1.4996405748259742
2022,6,Barcelona,2,HAM,29.0,3.0,MEDIUM,87.619,88.3994586872218,0.7804586872218011
2022,6,Barcelona,2,HAM,30.0,3.0,MEDIUM,86.711,88.48686891129229,1.7758689112922943
2022,6,Barcelona,2,HAM,31.0,3.0,MEDIUM,87.364,88.16880095538464,0.8048009553846331
2022,6,Barcelona,2,HAM,32.0,3.0,MEDIUM,86.329,88.236990893032,1.907990893032006
2022,6,Barcelona,2,HAM,33.0,3.0,MEDIUM,86.895,87.76904457712352,0.8740445771235281
2022,6,Barcelona,2,HAM,34.0,3.0,MEDIUM,86.697,87.838618015347,1.1416180153469964
2022,6,Barcelona,2,HAM,39.0,3.0,MEDIUM,86.82,88.1006283944717,1.2806283944717098
2022,6,Barcelona,2,HAM,40.0,3.0,MEDIUM,87.34,87.92749729719695,0.5874972971969425
2022,6,Barcelona,2,HAM,45.0,3.0,MEDIUM,87.458,88.33660003199944,0.8786000319994351
2022,6,Barcelona,2,HAM,46.0,3.0,MEDIUM,87.73,88.227977539997,0.49797753999699595
2022,6,Barcelona,2,HAM,47.0,3.0,MEDIUM,87.662,88.30301609895916,0.6410160989591572
2022,6,Barcelona,2,HAM,54.0,4.0,SOFT,85.389,86.63603162456958,1.247031624569583
2022,6,Barcelona,2,HAM,55.0,4.0,SOFT,85.207,86.85915327353372,1.6521532735337296
2022,6,Barcelona,2,HAM,56.0,4.0,SOFT,85.832,86.72601951456353,0.8940195145635321
2022,6,Barcelona,2,HAM,57.0,4.0,SOFT,86.447,86.82548226349866,0.37848226349865544
2022,6,Barcelona,2,HAM,58.0,4.0,SOFT,86.408,87.21774220329029,0.8097422032902887
2022,6,Barcelona,2,HAM,59.0,4.0,SOFT,86.919,87.29277623667707,0.37377623667707227
2022,6,Barcelona,2,HAM,60.0,4.0,SOFT,85.895,87.52678992981234,1.6317899298123357
2022,6,Barcelona,2,HAM,61.0,4.0,SOFT,86.425,87.26371364791875,0.8387136479187491
2022,6,Barcelona,2,HAM,62.0,4.0,SOFT,86.804,87.3724133451914,0.5684133451914039
2022,6,Barcelona,2,HAM,63.0,4.0,SOFT,88.977,87.49954751827912,1.4774524817208945
2022,6,Barcelona,2,HAM,64.0,4.0,SOFT,89.833,88.56999135940994,1.2630086405900531
2022,6,Barcelona,2,HAM,65.0,4.0,SOFT,91.646,88.99712327031443,2.6488767296855618
2022,6,Barcelona,2,HAM,66.0,4.0,SOFT,94.345,90.07861862232488,4.2663813776751205
2022,6,Barcelona,2,LAT,6.0,1.0,SOFT,91.335,91.36185798999146,0.026857989991470432
2022,6,Barcelona,2,LAT,18.0,2.0,MEDIUM,90.305,90.84669135321056,0.5416913532105461
2022,6,Barcelona,2,LAT,19.0,2.0,MEDIUM,90.851,90.98215107856946,0.13115107856945352
2022,6,Barcelona,2,LAT,20.0,2.0,MEDIUM,91.86,91.13737260482603,0.7226273951739792
2022,6,Barcelona,2,LAT,21.0,2.0,MEDIUM,90.343,91.65507514663072,1.3120751466307163
2022,6,Barcelona,2,LAT,22.0,2.0,MEDIUM,91.289,91.26392354352515,0.025076456474850795
2022,6,Barcelona,2,LAT,23.0,2.0,MEDIUM,90.736,91.37223990185348,0.6362399018534761
2022,6,Barcelona,2,LAT,24.0,2.0,MEDIUM,90.925,91.24054998324814,0.3155499832481465
2022,6,Barcelona,2,LAT,25.0,2.0,MEDIUM,91.835,91.36431074389462,0.4706892561053712
2022,6,Barcelona,2,LAT,32.0,3.0,SOFT,89.621,89.91837851871611,0.2973785187161221
2022,6,Barcelona,2,LAT,33.0,3.0,SOFT,90.987,90.110017120564,0.8769828794360028
2022,6,Barcelona,2,LAT,34.0,3.0,SOFT,89.286,90.74597990569343,1.4599799056934288
2022,6,Barcelona,2,LAT,35.0,3.0,SOFT,89.831,90.33153424986526,0.5005342498652596
2022,6,Barcelona,2,LAT,36.0,3.0,SOFT,89.764,90.34914037604794,0.5851403760479433
2022,6,Barcelona,2,LAT,37.0,3.0,SOFT,89.756,90.33342727755199,0.5774272775519944
2022,6,Barcelona,2,LAT,38.0,3.0,SOFT,90.934,90.34669439352992,0.5873056064700763
2022,6,Barcelona,2,LAT,39.0,3.0,SOFT,90.079,90.87500950842295,0.7960095084229534
2022,6,Barcelona,2,LAT,40.0,3.0,SOFT,90.826,90.73212714580852,0.09387285419148017
2022,6,Barcelona,2,LAT,41.0,3.0,SOFT,89.444,90.88240335081423,1.4384033508142207
2022,6,Barcelona,2,LAT,42.0,3.0,SOFT,89.831,90.45650837569768,0.625508375697682
2022,6,Barcelona,2,LAT,43.0,3.0,SOFT,89.491,90.39555335967594,0.9045533596759479
2022,6,Barcelona,2,LAT,44.0,3.0,SOFT,89.616,90.23824788459164,0.6222478845916469
2022,6,Barcelona,2,LAT,45.0,3.0,SOFT,90.104,90.27478822065073,0.17078822065073468
