Driver,LapNumber,Mean_Apex_Speed_Ratio,Std_Apex_Speed_Ratio,Mean_Brake_Fraction,Std_Brake_Fraction,Mean_Brake_Point_Norm,Std_Brake_Point_Norm,Mean_Throttle_On_Dist_Norm,Std_Throttle_On_Dist_Norm,Mean_Throttle_Integral_Norm,Std_Throttle_Integral_Norm,Mean_Speed_Variability,Std_Speed_Variability,LapTime_Sec,Z_Mean_Apex_Speed_Ratio,Z_Mean_Throttle_On_Dist_Norm,Z_Mean_Throttle_Integral_Norm,P_0,P_1,P_2,Style_Cluster_ID,Style_Entropy
ALB,2.0,0.7381595834498982,0.24546094839379193,0.31991499138324064,0.1629580744024859,0.2367794591466353,0.271117416422516,0.20696179150523974,0.28830583310547864,0.3755829564956396,0.2649141392696004,0.17854879788065045,0.12395019713276863,80.977,1.3656772888767548,-0.4857198294702943,-0.9894628757468061,0.007269740770485275,0.02621120709009722,0.9665190521394175,2,0.164160452701669
ALB,3.0,0.6897497060557658,0.21884565508467035,0.32645342985996656,0.17286398191422112,0.2628803498324077,0.29993602108267253,0.2224913465355985,0.28599550105464655,0.4208013015482105,0.28078739030684363,0.15202576715965258,0.07538377693223715,80.703,-0.3045539674828079,-0.2341098330552018,-0.3396041615740142,0.8075035745839332,0.07778229112149304,0.11471413429457365,0,0.6196860985347716
ALB,4.0,0.6956582778684236,0.2241184819193474,0.32447793990840046,0.1766057137295712,0.21257011830379638,0.28092076238682595,0.3211851825442003,0.3223909934616148,0.3694759128944429,0.2578759632295114,0.1595871772186781,0.102534288106392,80.276,-0.10069719582442117,1.3649286246321712,-1.0772306942606598,8.888633497047169e-05,0.09485497469555311,0.9050561389694766,2,0.3145380012092925
ALB,5.0,0.7408273284675542,0.22338291105444796,0.32145627643519326,0.17476323153966608,0.24583724146060573,0.27996717281866373,0.24410049838397482,0.3404410444749679,0.4275985050864116,0.3027236445647547,0.16699679187194957,0.0873769823801853,79.967,1.4577194784532685,0.1160018480891844,-0.24191765964275885,0.08882445770010002,0.8880183456664615,0.023157196633438685,1,0.4077131661449895
ALB,6.0,0.7024642105696582,0.236479362153458,0.42109502026492307,0.24714747418139651,0.17454464396170793,0.2681682964697486,0.18533334768207468,0.22400643629632097,0.4160311660104483,0.23777415578851605,0.15267659079612622,0.0873110983252445,79.165,0.1341202038093896,-0.8361440793713475,-0.4081585092264129,0.4367744662009141,0.11336382250845939,0.4498617112906267,2,0.9679637127417415
ALB,7.0,0.696224980310346,0.23217832509170608,0.34210899828463814,0.17157319978738347,0.2004831129909356,0.24267577335986504,0.2412630809498086,0.27315120803801807,0.38499013509225366,0.2748564706390915,0.15463099858343407,0.0744988920005719,79.055,-0.08114490231523033,0.07002998417917324,-0.8542669286222033,0.32259398416737406,0.018887926599829793,0.6585180892327962,2,0.7150454271760504
ALB,8.0,0.6772790406367223,0.23113585236704606,0.3273316321182862,0.1613205487298745,0.23205630182556147,0.29395853249590564,0.2447363479089996,0.27524555529059774,0.40033424723270966,0.24592731688290434,0.14990691099796624,0.0944798339108234,78.796,-0.73481523422614,0.12630388806388188,-0.633747911968078,0.5125971170842529,0.02453717481986452,0.4628657080958825,0,0.7900778845618959
ALB,9.0,0.7129589415170895,0.21879166247342974,0.29871683714043307,0.16868421042027715,0.2945533129802437,0.3180240808938131,0.29781713318599073,0.28845144884262763,0.3867207537296124,0.2585168355190087,0.13937278993234412,0.06470286095124024,79.293,0.4962080379258271,0.9863192695184728,-0.8293952177913472,0.0048016408623604186,0.528016865578369,0.4671814935592707,1,0.718383460644159
ALB,10.0,0.7309247784107558,0.23954982903558877,0.3509706775037922,0.15349642830460875,0.0951209598986506,0.15465731077431297,0.20456557013589366,0.3435479809170844,0.4541209501567513,0.29318125946259643,0.17709495265734723,0.10091851980161211,79.338,1.1160629919500704,-0.524543430595523,0.13925157665041038,0.23834622321602011,0.7500112966281135,0.011642480155866417,1,0.6093944343971853
ALB,13.0,0.6823125829253821,0.24332100031096632,0.29569095004484847,0.16925565964059539,0.17805730656306176,0.2575723329137842,0.22189174754596172,0.2796385057074033,0.3827777803665458,0.25653062878974464,0.1527829042342691,0.09202427676420719,79.885,-0.5611486167241034,-0.2438245415151721,-0.8860619444652448,0.3579675006494515,0.001728671402233914,0.6403038279483144,2,0.6641951799718997
ALB,15.0,0.7027990744312933,0.24527279210255046,0.3306716001077759,0.16552200354924324,0.1153469618744992,0.15915691605588364,0.2032235044020881,0.3429877305726495,0.43365523844689313,0.2805914391871961,0.16345352850056064,0.06852713558515074,80.892,0.14567363295308602,-0.5462875922158339,-0.15487287838962036,0.7152496335513315,0.21751223637195063,0.06723813007671785,0,0.7530223542766299
ALB,16.0,0.7056133525778381,0.23925970491176368,0.3580136554057965,0.1775345731981927,0.2355315101331717,0.30657805586400416,0.24354305238213428,0.28251071820403806,0.37474705189252083,0.2531711325363032,0.16289360042490544,0.11196289458160011,80.443,0.24277148937150533,0.10697010273327982,-1.0014761391672682,0.1462383004418427,0.0132898559934172,0.8404718435647403,2,0.4846350729479037
ALB,17.0,0.7196071990779673,0.22716557973295978,0.3190459089903872,0.17276450620633763,0.21872007157708145,0.27498633573626496,0.24287444147138149,0.280283549024189,0.419497731831127,0.2807074473446993,0.16013031582975226,0.08712103272636895,80.624,0.7255853504957789,0.0961372624794071,-0.3583385079812875,0.3130679431376952,0.6009074709583787,0.08602458590392643,1,0.8806563658264586
ALB,20.0,0.6831250463298592,0.21992942593991574,0.3506826222982389,0.15911774011231836,0.2253070321890198,0.29062255427729344,0.2913721506730185,0.26033757754820763,0.40780974599858744,0.25141326415938703,0.13712289024398672,0.05479963328264577,78.47,-0.5331171106379023,0.8818976023287716,-0.5263132411470719,0.010056611951764147,0.44883701281730354,0.5411063752309325,2,0.7381316703024168
ALB,21.0,0.6847612219177521,0.22725587589671867,0.33344105290879933,0.17091113597240615,0.23418855686718107,0.2988178985565521,0.22515803513705016,0.28502084196099914,0.4356276861021201,0.2900920477495434,0.152792594830412,0.07127858218354091,77.131,-0.4766659945662355,-0.19090411929587317,-0.12652570434977653,0.8100721376220219,0.13111082748579203,0.05881703489218606,0,0.6036542788630666
ALB,22.0,0.735011389745587,0.24120218762408477,0.3329376040400443,0.16827087421806733,0.24197357786979506,0.2906308687432584,0.27836198353185404,0.3353344846395938,0.40708492430618065,0.2871812011593355,0.17132420573235368,0.11185743829530778,77.105,1.2570587215706481,0.6711067521499477,-0.5367300684874887,0.014132308113111712,0.9249228494605094,0.06094484242637899,1,0.3028898114612316
ALB,23.0,0.7381090573009438,0.25034902615578825,0.32565673573215215,0.15785678870039294,0.20751013107499586,0.28700557200607013,0.2451586291356082,0.28861140584108935,0.41370309163627317,0.2831729174681892,0.16319336506441928,0.1047841840249167,77.064,1.3639340422958959,0.1331456924623625,-0.4416165983612799,0.10566323933668566,0.8238045712071144,0.07053218945619974,1,0.5841785755103133
ALB,24.0,0.6802273608700904,0.237620427894782,0.316732791448385,0.1755989370046495,0.23833843142367392,0.28103281316177414,0.23034342188106016,0.28023411062232156,0.4343226617230517,0.26680202172848205,0.1523056055967329,0.06725658152664533,76.672,-0.6330926752649475,-0.10689043458174737,-0.14528095653690493,0.7934174466299223,0.12862998106612997,0.07795257230394766,0,0.6463057714817866
ALB,25.0,0.7393827473451348,0.22477033311046432,0.3470329084372978,0.17483786783227767,0.20249940664073093,0.2504742487180534,0.24893550595480007,0.28890246486022847,0.41997019832398214,0.2590261430773239,0.16508915392019138,0.08789764719148435,76.793,1.4078787295629538,0.1943386861495202,-0.35154842163072303,0.08140786479769378,0.8805358041784266,0.0380563310238798,1,0.44061415428154493
