Year,RoundNumber,Location,Location_Encoded,Driver,LapNumber,Stint,Compound,Actual,Predicted,Error
2022,6,Barcelona,2,ALO,65.0,4.0,SOFT,88.27,87.79113194274902,0.4788680572509777
2022,6,Barcelona,2,BOT,5.0,1.0,SOFT,88.999,88.6890936961174,0.3099063038825989
2022,6,Barcelona,2,BOT,6.0,1.0,SOFT,88.984,89.21904170715808,0.2350417071580892
2022,6,Barcelona,2,BOT,13.0,1.0,SOFT,89.267,89.44274769084156,0.17574769084156108
2022,6,Barcelona,2,BOT,19.0,2.0,MEDIUM,88.389,88.53707183029084,0.14807183029084564
2022,6,Barcelona,2,BOT,20.0,2.0,MEDIUM,88.55,88.47537309074401,0.07462690925598275
2022,6,Barcelona,2,BOT,21.0,2.0,MEDIUM,88.613,88.6067611940205,0.006238805979492584
2022,6,Barcelona,2,BOT,22.0,2.0,MEDIUM,88.189,88.69356384325027,0.5045638432502813
2022,6,Barcelona,2,BOT,23.0,2.0,MEDIUM,88.803,88.27521460944413,0.5277853905558629
2022,6,Barcelona,2,BOT,24.0,2.0,MEDIUM,88.563,88.74197352367639,0.17897352367639022
2022,6,Barcelona,2,BOT,25.0,2.0,MEDIUM,88.699,88.6387449567318,0.06025504326819933
2022,6,Barcelona,2,BOT,26.0,2.0,MEDIUM,88.576,88.76206733191013,0.18606733191013797
2022,6,Barcelona,2,BOT,27.0,2.0,MEDIUM,88.508,88.66724457091092,0.15924457091092842
2022,6,Barcelona,2,BOT,28.0,2.0,MEDIUM,89.057,88.58830746132135,0.4686925386786527
2022,6,Barcelona,2,BOT,29.0,2.0,MEDIUM,88.695,89.00679948550463,0.3117994855046362
2022,6,Barcelona,2,BOT,30.0,2.0,MEDIUM,88.692,88.78383617818355,0.0918361781835557
2022,6,Barcelona,2,BOT,31.0,2.0,MEDIUM,89.25,88.77984949034452,0.47015050965548255
2022,6,Barcelona,2,BOT,32.0,2.0,MEDIUM,88.803,89.19713924080133,0.39413924080133705
2022,6,Barcelona,2,BOT,33.0,2.0,MEDIUM,89.322,88.88648912745714,0.4355108725428636
2022,6,Barcelona,2,BOT,40.0,3.0,MEDIUM,87.449,87.36023391851782,0.0887660814821771
2022,6,Barcelona,2,BOT,41.0,3.0,MEDIUM,88.315,87.48312014245987,0.8318798575401303
2022,6,Barcelona,2,BOT,42.0,3.0,MEDIUM,87.646,87.99509573221206,0.3490957322120636
2022,6,Barcelona,2,BOT,43.0,3.0,MEDIUM,88.174,87.68440565681458,0.4895943431854306
2022,6,Barcelona,2,BOT,44.0,3.0,MEDIUM,87.999,88.08600121492148,0.08700121492148577
2022,6,Barcelona,2,BOT,45.0,3.0,MEDIUM,88.259,88.0699453895688,0.18905461043119942
2022,6,Barcelona,2,BOT,46.0,3.0,MEDIUM,88.512,88.25697267676331,0.2550273232366891
