Driver,LapNumber,Mean_Apex_Speed_Ratio,Std_Apex_Speed_Ratio,Mean_Brake_Fraction,Std_Brake_Fraction,Mean_Brake_Point_Norm,Std_Brake_Point_Norm,Mean_Throttle_On_Dist_Norm,Std_Throttle_On_Dist_Norm,Mean_Throttle_Integral_Norm,Std_Throttle_Integral_Norm,Mean_Speed_CV,Std_Speed_CV,LapTime_Sec,Z_Mean_Apex_Speed_Ratio,Z_Mean_Throttle_On_Dist_Norm,Z_Mean_Throttle_Integral_Norm,P_0,P_1,P_2,Style_Cluster_ID,Style_Entropy
ALB,2.0,0.8710600737251823,0.20232504616461436,0.2514257900323719,0.21706272125047135,0.11673881550425093,0.19131348608389304,0.25461089865528796,0.19383164038567635,0.5971281624407366,0.24249838810345242,0.0828395645911951,0.06306474794971341,95.004,0.4934768273682042,-0.08614281040069292,-0.15346445667719322,0.4994977680411927,0.38018047578992425,0.12032175616888298,0,0.9691951311515676
ALB,3.0,0.8680029358883868,0.19688504406206825,0.20252152673789028,0.20649194373810306,0.1076016651510691,0.23229079879646466,0.3578422628539028,0.39482655729964017,0.536827278738979,0.3588511654033251,0.08324180776518154,0.0628936043243649,93.809,0.3871165902369261,0.9242341798120225,-0.8866029018832238,0.06715750845342879,0.10029440753482899,0.8325480840117424,2,0.5645911691914884
ALB,4.0,0.8699799781715608,0.20470208939361148,0.24257562470961036,0.21272376180790278,0.08817652427569474,0.206407335945945,0.34672560757654497,0.2861652381376535,0.5182435047183348,0.2706969591927544,0.08327870075795951,0.05761007958853523,93.866,0.4558994509656922,0.8154299148721641,-1.1125445192389598,0.06303495096418231,0.07192440280414762,0.86504064623167,2,0.48896037474762283
ALB,5.0,0.8429236593174713,0.18942225803980972,0.22377729503205449,0.22476666613076438,0.07165137939724035,0.29399313499759633,0.25741068713948395,0.2593440064670802,0.6066611026259959,0.28995153531326356,0.08520275894809315,0.0660973537614598,93.86,-0.4854112268141678,-0.05873988025582404,-0.03756292229454913,0.7618950753703527,0.13262852710077638,0.10547639752887077,0,0.7123758983415499
ALB,6.0,0.8593712416421742,0.19318383838039052,0.2065323873274132,0.1910382882808085,0.07594628140885157,0.18966526450734172,0.3492676727005637,0.3804442957607987,0.5806014934158787,0.3439334361516576,0.07938540090988036,0.05673117486615542,94.21,0.0868131378305439,0.8403103775965461,-0.35439578122038234,0.05331124618580756,0.34745605537375973,0.5992326984404328,2,0.8304596331596027
ALB,7.0,0.9037794671449418,0.18660529421950683,0.22375088220632275,0.20403702743522997,0.06996148481798169,0.2061590724130314,0.4500231580512012,0.29776307878970304,0.44809480653596745,0.30135803355989,0.08107799575829701,0.059752823620868416,94.099,1.6318103369115555,1.8264547032700456,-1.9654127420830778,2.37964996695369e-05,4.500288611425604e-05,0.9999312006142165,2,0.0007725580532195267
ALB,8.0,0.8541865110949658,0.18634424185328796,0.2020876209063648,0.21071132231130782,0.04146483410868096,0.1821430957752636,0.19390510162526484,0.2322608155335509,0.635270825819364,0.2706548341381842,0.08310362743015835,0.0594301929332208,93.922,-0.0935677281630194,-0.680300806546614,0.3102742351756555,0.8647932335211976,0.1014375203036599,0.03376924617514245,0,0.4721618876452889
ALB,9.0,0.8617284394774718,0.1717782541550904,0.23171250118504605,0.1970175060997141,0.08461533084697094,0.18421575894553513,0.2923022952239686,0.30203693215741634,0.4986383665170585,0.30633996962368215,0.08317782245933791,0.07097674001507835,93.731,0.16882191012403952,0.2827617383051394,-1.3509038874038097,0.010346282345485373,0.08410364820690704,0.9055500694476079,2,0.3453521065071441
ALB,10.0,0.8553874931280511,0.1750578326048173,0.19685497934971474,0.1832898944050289,0.07121971058115181,0.1815398800959068,0.25324930852964783,0.29164575387565295,0.616798993856349,0.28538308198941176,0.08332882342086517,0.0671945384782968,94.045,-0.05178461577210154,-0.09946937392842832,0.08569360991564505,0.6710716512973736,0.2425826708029593,0.0863456778996669,0,0.8227686174240975
ALB,11.0,0.8791602137326804,0.19670609235542919,0.2417449561486739,0.21309390109823564,0.08937689056624581,0.1993564639223893,0.2893214110922075,0.31236891908298586,0.5453175663270147,0.31725811777263513,0.08836631425527762,0.06300778093076122,93.842,0.7752870884642831,0.2535863344867129,-0.7833779429849328,0.16699632641326662,0.338015024769459,0.4949886488172743,2,1.013606447200221
ALB,12.0,0.9091640532748677,0.16303273090452955,0.22349044923188766,0.18960853918834622,0.07983106157671012,0.1771963206846645,0.3213825497508178,0.2586510787607195,0.5368234641955255,0.3045769350176484,0.08340906555308357,0.0638105572504366,93.857,1.8191443362947881,0.5673847331822316,-0.8866492791215816,0.017667699806038415,0.17271360399490987,0.8096186961990521,2,0.5455979453952381
ALB,13.0,0.8894794950462234,0.2035612791905437,0.20202900389545772,0.198202428893237,0.06527839945577098,0.16372319602982066,0.22836141379560987,0.26833078619232004,0.5888155284456043,0.2700729208774847,0.0830626006062571,0.06187267146099809,93.751,1.1343030262877678,-0.34305964680061013,-0.25452950230571203,0.18479261215624704,0.7100483903613322,0.10515899748242075,1,0.7920102224099624
ALB,14.0,0.8559750575334284,0.19608127782355428,0.24356578181369867,0.19815926959155275,0.10764321079528962,0.1886278576846636,0.34866586496019203,0.37878374741804527,0.5862871746175569,0.34475102152972126,0.09088734214278171,0.07067693686704751,93.951,-0.031342786576942755,0.83442018426118,-0.2852692407744428,0.04643573250038892,0.39361526061998137,0.5599490068796298,2,0.8342624254169673
ALB,15.0,0.8718279483303267,0.19821562008970975,0.20799644246247023,0.19317539784469387,0.06009008119640106,0.15841560147178813,0.19262929013254157,0.15748519467012853,0.6077574976219178,0.2573771653671134,0.08438603609857503,0.061516412881201916,93.786,0.5201917906607494,-0.6927878116937747,-0.02423294645841749,0.4682593201019678,0.4516116793165396,0.08012900058149272,0,0.9165396616304887
ALB,16.0,0.9009038639613893,0.19793311532154015,0.21546908464853384,0.21428393199122045,0.08677478835704473,0.21316583156445415,0.31359167839593033,0.30829402547283785,0.5100392396911285,0.30865431681804584,0.08917546827500222,0.07185166242404256,94.343,1.5317658335800686,0.4911315788061965,-1.2122920144142073,0.010810679298737084,0.1402706778807143,0.8489186428205492,2,0.4635053941670007
ALB,17.0,0.8972172079554188,0.19724401905384506,0.20796828122013053,0.19622809418436357,0.07254859648206877,0.18049670490552455,0.21503549251422363,0.14912707871918152,0.6178810653183535,0.25447682524569515,0.08490973229425319,0.06067206822840731,93.707,1.403504162713606,-0.47348710303565295,0.0988494401548745,0.16025195238597112,0.7911108197139857,0.04863722790004332,1,0.6258416378774153
ALB,18.0,0.855416503279007,0.2021984314475625,0.20327957688638149,0.1888813486565793,0.07584802192470214,0.216544278617306,0.21392981714439466,0.22123908585864704,0.6467979433603799,0.264090293652872,0.08596581347142106,0.060795921770490424,93.615,-0.0507753297341128,-0.48430890085836464,0.4504209878090868,0.8013841224999332,0.16344548715945056,0.03517039034061621,0,0.591217894212127
ALB,19.0,0.8204314163420205,0.22178245362630516,0.2449385077801109,0.22784053777699068,0.11847956746608732,0.2247358224490325,0.2701265090428158,0.288596981255961,0.523348340531721,0.27881602759392743,0.09167950977819159,0.0633901282471868,93.654,-1.2679341041571308,0.06571622823897942,-1.0504798999247837,0.025185333368721436,0.018803824846580983,0.9560108417846973,2,0.21044743240574626
ALB,20.0,0.8486959232783543,0.19622505051761996,0.24772012032926732,0.2115482373049448,0.09756522825888413,0.19802435104006183,0.23320434283529906,0.1677889922484993,0.5931106479286371,0.24661738880673367,0.08643516989607725,0.058696221739013815,93.44,-0.2845896098512304,-0.29565947820920657,-0.2023094181799292,0.7331672632699269,0.1374199736399587,0.12941276309011426,0,0.7649172970532881
ALB,21.0,0.8616815941209016,0.18462465200099354,0.21468161353275028,0.18714033135591188,0.059380467559640174,0.17263138143604223,0.48162354377748906,0.42531884682056087,0.4357776771932755,0.36730615896054536,0.08731290357561226,0.06981004413651663,93.195,0.16719212321246008,2.1357434825819053,-2.1151644621468346,5.531769201089081e-05,5.885630284043015e-05,0.9998858260051486,2,0.0012296992207470063
ALB,22.0,0.8289963195746645,0.20591675153501116,0.2221704211994704,0.1864865213404774,0.0773334873820135,0.16246903302414542,0.20599338188435318,0.2872857839916833,0.6628519501154828,0.29763001815644163,0.08444507561980205,0.06046684375410324,93.021,-0.9699543638045234,-0.5619867619745929,0.645605682115983,0.9219008252398431,0.03993071517887211,0.03816845958128482,0,0.3282165104998058
