Features,MAE,RMSE,R2,MAPE
With clustering,0.3359683087484696,0.5614007606771372,0.997200154355278,0.3836429814520181
Without clustering,0.3360289035897534,0.5618692020820326,0.9971954799375942,0.383630784238008
