Model,MAE_k3,MAE_k2,MAE_delta,RMSE_k3,RMSE_k2,RMSE_delta,R2_k3,R2_k2,R2_delta
LightGBM,0.3335,0.3336,-0.0001,0.5548,0.555,-0.0002,0.997259,0.997257,-2e-06
RandomForest,0.3353,0.3353,-0.0,0.5566,0.5563,0.0002,0.997241,0.997244,2e-06
XGBoost,0.3368,0.3373,-0.0005,0.564,0.5651,-0.0011,0.997167,0.997156,-1.1e-05
CatBoost,0.338,0.3376,0.0004,0.5608,0.5601,0.0007,0.997199,0.997207,7e-06
Ridge,1.9243,1.9228,0.0015,11.0118,10.9766,0.0352,-0.079909,-0.073007,0.006902
