Model,MAE,RMSE,Time_s
LightGBM (tuned),0.33299362960087786,0.5588203100870225,36.93328094482422
RandomForest (tuned),0.3342006707201816,0.5607100945634714,3112.6666140556335
XGBoost (tuned),0.33666105938716434,0.5756504777408834,18.92581295967102
CatBoost (tuned),0.3374863419145362,0.5627003139937116,44.75241994857788
