Features,MAE,RMSE,R2,MAPE
With clustering,0.3330270000714145,0.554162483112832,0.9972718871126449,0.37998103471136235
Without clustering,0.33278651811778415,0.5539679104123775,0.9972738025187579,0.37968003065410116
