Features,MAE,RMSE,R2,MAPE,Time_s
With clustering,0.3380013796070202,0.5607957781471661,0.9971992293794035,0.3860657789168973,37.707740783691406
Without clustering,0.3375386949932544,0.5596285742659857,0.9972108759304321,0.3855028959647006,28.42410683631897
Delta (with - without),0.00046268461376580694,0.001167203881180412,-1.1646551028587915e-05,0.0005628829521966972,9.283633947372437
