Features,MAE,RMSE,R2,MAPE,Time_s
With clustering,1.9242802900387275,11.01183327978734,-0.07990941183625888,2.0531562355001856,28.749701738357544
Without clustering,1.8368513430994091,9.95002697946895,0.11830863416154092,1.9720900746130487,9.02103590965271
Delta (with - without),0.08742894693931835,1.0618063003183895,-0.1982180459977998,0.0810661608871368,19.728665828704834
