Driver,LapNumber,Mean_Apex_Speed_Ratio,Std_Apex_Speed_Ratio,Mean_Brake_Fraction,Std_Brake_Fraction,Mean_Brake_Point_Norm,Std_Brake_Point_Norm,Mean_Throttle_On_Dist_Norm,Std_Throttle_On_Dist_Norm,Mean_Throttle_Integral_Norm,Std_Throttle_Integral_Norm,Mean_Speed_Variability,Std_Speed_Variability,LapTime_Sec,Z_Mean_Apex_Speed_Ratio,Z_Mean_Throttle_On_Dist_Norm,Z_Mean_Throttle_Integral_Norm,P_0,P_1,P_2,Style_Cluster_ID,Style_Entropy
ALB,1.0,0.8858069266166378,0.15720989222046491,0.16874300337004766,0.19845264443882063,0.0868047195101559,0.27133492651190355,0.1903146087569398,0.29825920757837604,0.6890944097560577,0.2880476891513425,0.09233113872423865,0.08475885765486856,101.364,1.5124655348188172,0.060232755955595574,0.21017299377122933,0.23834010135086742,0.4708428882767498,0.2908170103723831,1,1.055623332004887
ALB,2.0,0.8776780447934031,0.18957574862852591,0.23353553183968864,0.21706272125047135,0.11890001665191557,0.19131348608389304,0.20535239177063322,0.27009189378381354,0.6299864913360909,0.2982616128245981,0.08034524235650217,0.0636408281417998,95.004,1.1615502392490422,0.24828196202916278,-0.9898655278841271,0.6024305372790578,0.21953131666100037,0.1780381460599421,0,0.945418796475467
ALB,3.0,0.8691171896094376,0.21253265540040703,0.18374172835586322,0.20649194373810306,0.1066886622761044,0.23229079879646466,0.13175047307097937,0.09282408096186287,0.6566569322782544,0.2369895384337844,0.08073336118029004,0.06287903819941018,93.809,0.7919871071310987,-0.6721184962270661,-0.4483888970759134,0.8661280315751457,0.00044886098691212785,0.13342310743794225,0,0.3966871159357989
ALB,4.0,0.865222806545866,0.21028212425408618,0.21245004331418563,0.21272376180790278,0.08912355801507114,0.206407335945945,0.2799616262286404,0.29597103735999436,0.5913073158658712,0.28340280855163136,0.0785969141521573,0.05798640140597228,93.866,0.6238706781397212,1.1812790196944434,-1.775149493060118,0.00045505977949546666,0.7631871057479048,0.2363578344725994,1,0.5506791249365999
ALB,5.0,0.8656590614085024,0.1976100409341279,0.20483152544987773,0.22476666613076438,0.09894958433754363,0.29399313499759633,0.2240484267336086,0.2612720147699059,0.6449126348219103,0.2969282967805339,0.08051393699863234,0.0687333449182919,93.86,0.6427033426309434,0.4820780294620891,-0.686827497759761,0.04058602349961562,0.8603077011196765,0.09910627538070793,1,0.4885877630360126
ALB,6.0,0.872968519718499,0.19826495032766525,0.17875940699282813,0.1910382882808085,0.07669710755246185,0.18966526450734172,0.12811478856794742,0.24404957406094654,0.6717350484631577,0.28097325882705854,0.07731512640712161,0.06162795304266283,94.21,0.9582449852681719,-0.7175831490755986,-0.14226544120799847,0.8945126086390771,0.0006463537285002261,0.10484103763242288,0,0.34091290685185266
ALB,7.0,0.8862336406838068,0.20129331278244614,0.20653767570813727,0.20403702743522997,0.06372693597515337,0.2061590724130314,0.1103950362922711,0.12192346942342408,0.63995696983138,0.27553436942503606,0.07870312873855885,0.06181082664235539,94.099,1.530886333184514,-0.9391706892221036,-0.7874398868951958,0.08745478924736984,2.588000873393399e-06,0.912542622751757,2,0.29664488975327125
ALB,8.0,0.8550878643479699,0.18996570666064969,0.18952377887466265,0.21071132231130782,0.036169948011864794,0.1821430957752636,0.19834566607012766,0.27618151141999525,0.6406334106302558,0.2806450647973281,0.07771703707371892,0.06342591954991954,93.922,0.1863558619208734,0.1606620513045889,-0.7737064474852211,0.5586765425141151,0.32487290061046126,0.11645055687542347,0,0.9409166830413409
ALB,9.0,0.8624295939715325,0.19251160990691957,0.20887050564618775,0.1970175060997141,0.08427326411522575,0.18421575894553513,0.22922226371264656,0.34463604584691737,0.6331903668711583,0.3267398168973676,0.0785730262789034,0.06134334015318424,93.731,0.5032906232901349,0.546777455925165,-0.924818844403369,0.04037471958007072,0.8420333994118984,0.1175918810080308,1,0.5260698267132662
ALB,10.0,0.8750505878318995,0.1879302053644369,0.1712994576982845,0.1832898944050289,0.0720508152223957,0.1815398800959068,0.24312779479671426,0.23242609977289097,0.6249024989818849,0.29233055920919687,0.08101380428036195,0.06613949415570218,94.045,1.0481256802146752,0.7206677213990778,-1.0930832833378117,0.014718974765751855,0.858721360864626,0.12655966436962224,1,0.45449032367815234
