Features,MAE,RMSE,R2,MAPE,Time_s
With clustering,0.3367907762666067,0.564042617472817,0.9971667042524051,0.3844758863299136,35.28387212753296
Without clustering,0.3360063765666527,0.5630034702746194,0.9971771343126751,0.38338617683280407,28.952139139175415
Delta (with - without),0.0007843996999539748,0.001039147198197643,-1.0430060270016916e-05,0.0010897094971095145,6.331732988357544
