Features,MAE,RMSE,R2,MAPE
With clustering,0.3333309566508481,0.5550522653862924,0.9972631193763193,0.38039248858559893
Without clustering,0.33323045830692055,0.554930563565779,0.997264319432094,0.3802645664311289
