Bucket,Total_Abs_SHAP,Mean_Abs_SHAP,N_Features
Lag-1,0.10320393616131199,0.051601968080655994,2
Static,0.08660871613216299,0.0024745347466332284,35
Telemetry,0.00840406993489264,0.0009337855483214046,9
Cluster,0.006333015244889188,0.0003725303085228934,17
Rolling-3,0.0026582481353405077,0.0026582481353405077,1
Lag-2,0.0024995638657086374,0.0024995638657086374,1
