Model,MAE,RMSE,R2,MAPE,Time_s
LightGBM,0.3335795175823005,0.5549967420334706,0.9972568539006605,0.3806015713723026,49.84500312805176
RandomForest,0.3353162317077352,0.556320053121948,0.9972437570190823,0.3825900505978673,270.0788199901581
XGBoost,0.33732339639657927,0.5651215944556444,0.9971558540620751,0.3850748427274578,34.209434032440186
CatBoost,0.3375963393474543,0.5600529518720643,0.9972066442287648,0.3855722213450213,33.121636152267456
Ridge,1.922761689702619,10.97658609637247,-0.07300722833635587,2.052007442903418,24.63697385787964
