Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,Team,Location,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,LapTime_Sec,FuelLoad,Track_Evolution_Physics,Traction_1_5,Asphalt_Grip_1_5,Asphalt_Abrasion_1_5,Track_Evolution_1_5,Tyre_Stress_1_5,Braking_1_5,Lateral_1_5,Downforce_1_5,Min_Pressure_Front_PSI,Min_Pressure_Rear_PSI,Compound_Hard,Compound_Medium,Compound_Soft,Circuit_Length_KM,Total_Laps,Cumulative_Field_Dist_KM,Compound_Hard_Int,Compound_Medium_Int,Compound_Soft_Int,Wear_Severity_Index,Track_Flow_Type,Compound_Int,E_lap,Gap_To_Car_Ahead,Dirty_Air_Fraction,Grip_Aero_Balance,Total_Min_Pressure,Pressure_Delta,LatOffset_Mean,LatOffset_Std,Mean_Apex_Speed_Ratio,Std_Apex_Speed_Ratio,Mean_Brake_Fraction,Std_Brake_Fraction,Mean_Brake_Point_Norm,Std_Brake_Point_Norm,Mean_Throttle_On_Dist_Norm,Std_Throttle_On_Dist_Norm,Mean_Throttle_Integral_Norm,Std_Throttle_Integral_Norm,Mean_Speed_CV,Std_Speed_CV,P_0,P_1,P_2,Style_Cluster_ID,Style_Entropy,Lap_Gap,Prev_LapTime,Lag_2,Rolling_Avg_3,Target_Delta,Prev_Delta,Driver_Encoded,Location_Encoded,Team_Encoded
0 days 01:08:32.997000,ALB,0 days 00:01:33.866000,4.0,1.0,MEDIUM,4.0,Williams,Silverstone,21.4,55.0,1001.2,False,29.3,201,3.0,93.866,101.61538461538461,812.958,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,406.479,1,2,3,15,0.8333333333333334,2,77.3720611391156,1.2642878734052907,0.9599447513812155,0.6,49.5,3.5,0.3817927391280979,0.5105550713159799,0.8699799781715608,0.20470208939361148,0.24257562470961036,0.21272376180790278,0.08817652427569474,0.206407335945945,0.34672560757654497,0.2861652381376535,0.5182435047183348,0.2706969591927544,0.08327870075795951,0.05761007958853523,0.07487187775302886,0.05867369144274205,0.8664544308042291,2.0,0.4846534817161367,1.0,93.809,95.004,96.72566666666667,0.05700000000000216,-1.1950000000000074,0,0,9
0 days 01:10:06.857000,ALB,0 days 00:01:33.860000,5.0,1.0,MEDIUM,5.0,Williams,Silverstone,21.4,55.0,1001.2,False,29.3,221,3.4,93.86,99.51923076923077,1048.598,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,524.299,1,2,3,15,0.8333333333333334,2,75.6932901374847,1.593261394721369,0.9214285714285714,0.6,49.5,3.5,0.31625079216101076,0.3842858195211713,0.8429236593174713,0.18942225803980972,0.22377729503205449,0.22476666613076438,0.07165137939724035,0.29399313499759633,0.25741068713948395,0.2593440064670802,0.6066611026259959,0.28995153531326356,0.08520275894809315,0.0660973537614598,0.7661626022545694,0.14183412578340507,0.09200327196202551,0.0,0.7006050090753515,1.0,93.866,93.809,94.22633333333333,-0.006000000000000227,0.05700000000000216,0,0,9
0 days 01:11:41.067000,ALB,0 days 00:01:34.210000,6.0,1.0,MEDIUM,6.0,Williams,Silverstone,21.4,55.0,1001.2,False,29.5,183,3.4,94.21,97.42307692307692,1284.238,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,642.119,1,2,3,15,0.8333333333333334,2,79.79663940601854,1.6715946440856093,0.9205479452054794,0.6,49.5,3.5,0.2789160252974392,0.3366702562476981,0.8593712416421742,0.19318383838039052,0.2065323873274132,0.1910382882808085,0.07594628140885157,0.18966526450734172,0.3492676727005637,0.3804442957607987,0.5806014934158787,0.3439334361516576,0.07938540090988036,0.05673117486615542,0.1869558753444349,0.44843246020342237,0.36461166445214277,1.0,1.0410095255410667,1.0,93.86,93.866,93.84499999999998,0.3499999999999943,-0.006000000000000227,0,0,9
0 days 01:13:15.166000,ALB,0 days 00:01:34.099000,7.0,1.0,MEDIUM,7.0,Williams,Silverstone,21.4,55.0,1001.2,False,29.2,190,4.0,94.099,95.32692307692308,1519.878,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,759.939,1,2,3,15,0.8333333333333334,2,73.25194179054778,1.4191533085320402,1.0,0.6,49.5,3.5,0.3277019284018979,0.41785965308833123,0.9037794671449418,0.18660529421950683,0.22375088220632275,0.20403702743522997,0.06996148481798169,0.2061590724130314,0.4500231580512012,0.29776307878970304,0.44809480653596745,0.30135803355989,0.08107799575829701,0.059752823620868416,0.00011178481219557367,0.00041058507445385534,0.9994776301133503,2.0,0.004741068755632274,1.0,94.21,93.86,93.97866666666668,-0.11099999999999,0.3499999999999943,0,0,9
0 days 01:14:49.088000,ALB,0 days 00:01:33.922000,8.0,1.0,MEDIUM,8.0,Williams,Silverstone,21.5,55.0,1001.4,False,29.1,201,3.5,93.922,93.23076923076923,1755.518,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,877.759,1,2,3,15,0.8333333333333334,2,70.68049712562636,1.3206561447774425,1.0,0.6,49.5,3.5,0.39547143769442583,0.46857728393595555,0.8541865110949658,0.18634424185328796,0.2020876209063648,0.21071132231130782,0.04146483410868096,0.1821430957752636,0.19390510162526484,0.2322608155335509,0.635270825819364,0.2706548341381842,0.08310362743015835,0.0594301929332208,0.8290661934777479,0.11424402334331207,0.05668978317893997,0.0,0.5659647604529473,1.0,94.099,94.21,94.05633333333333,-0.1770000000000067,-0.11099999999999,0,0,9
0 days 01:16:22.819000,ALB,0 days 00:01:33.731000,9.0,1.0,MEDIUM,9.0,Williams,Silverstone,21.3,55.0,1001.2,False,29.1,201,3.5,93.731,91.13461538461539,1991.158,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,995.579,1,2,3,15,0.8333333333333334,2,73.41303213026141,1.3931273002887468,0.9985294117647059,0.6,49.5,3.5,0.329964757660494,0.3866458372862947,0.8617284394774718,0.1717782541550904,0.23171250118504605,0.1970175060997141,0.08461533084697094,0.18421575894553513,0.2923022952239686,0.30203693215741634,0.4986383665170585,0.30633996962368215,0.08317782245933791,0.07097674001507835,0.007188803915256138,0.15658555860271364,0.8362256374820304,2.0,0.4753765857031832,1.0,93.922,94.099,94.077,-0.1910000000000025,-0.1770000000000067,0,0,9
0 days 01:24:12.265000,ALB,0 days 00:01:33.951000,14.0,1.0,MEDIUM,14.0,Williams,Silverstone,21.4,58.0,1001.5,False,28.7,191,3.7,93.951,80.65384615384616,3122.23,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,1561.115,1,2,3,15,0.8333333333333334,2,75.45538173525942,1.767533803243711,0.8319209039548022,0.6,49.5,3.5,0.2658231885191178,0.30582002374405126,0.8559750575334284,0.19608127782355428,0.24356578181369867,0.19815926959155275,0.10764321079528962,0.1886278576846636,0.34866586496019203,0.37878374741804527,0.5862871746175569,0.34475102152972126,0.09088734214278171,0.07067693686704751,0.16762172226745448,0.5292637422731985,0.30311453545934697,1.0,0.9979448280644636,1.0,93.751,93.857,93.81666666666666,0.19999999999998863,-0.10599999999999454,0,0,9
0 days 01:25:46.051000,ALB,0 days 00:01:33.786000,15.0,1.0,MEDIUM,15.0,Williams,Silverstone,20.9,61.0,1001.5,False,27.7,255,2.5,93.786,78.5576923076923,3346.088,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,1673.044,1,2,3,15,0.8333333333333334,2,76.44974787190755,1.997627819284766,0.5236768802228412,0.6,49.5,3.5,0.51452280353509,0.8446607038633549,0.8718279483303267,0.19821562008970975,0.20799644246247023,0.19317539784469387,0.06009008119640106,0.15841560147178813,0.19262929013254157,0.15748519467012853,0.6077574976219178,0.2573771653671134,0.08438603609857503,0.061516412881201916,0.4306780031108942,0.3767470377054626,0.19257495918364317,0.0,1.0477971368721528,1.0,93.951,93.751,93.85300000000001,-0.16499999999999204,0.19999999999998863,0,0,9
0 days 01:27:20.394000,ALB,0 days 00:01:34.343000,16.0,1.0,MEDIUM,16.0,Williams,Silverstone,20.5,63.0,1001.5,False,27.8,241,1.8,94.343,76.46153846153845,3581.728,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,1790.864,1,2,3,15,0.8333333333333334,2,72.43692186734134,1.5508376004792936,0.7475177304964539,0.6,49.5,3.5,0.4030549633078345,0.5365306005166909,0.9009038639613893,0.19793311532154015,0.21546908464853384,0.21428393199122045,0.08677478835704473,0.21316583156445415,0.31359167839593033,0.30829402547283785,0.5100392396911285,0.30865431681804584,0.08917546827500222,0.07185166242404256,0.012081045786455418,0.09223517814282646,0.8956837760707177,2.0,0.3718614652314028,1.0,93.786,93.951,93.82933333333334,0.5570000000000022,-0.16499999999999204,0,0,9
0 days 01:28:54.101000,ALB,0 days 00:01:33.707000,17.0,1.0,MEDIUM,17.0,Williams,Silverstone,20.1,63.0,1001.4,False,27.9,222,2.2,93.707,74.36538461538461,3805.586,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,1902.793,1,2,3,15,0.8333333333333334,2,75.50362307102608,0.8695370304671327,1.0,0.6,49.5,3.5,0.44952843169036805,0.6221170620804718,0.8972172079554188,0.19724401905384506,0.20796828122013053,0.19622809418436357,0.07254859648206877,0.18049670490552455,0.21503549251422363,0.14912707871918152,0.6178810653183535,0.25447682524569515,0.08490973229425319,0.06067206822840731,0.29361216049407474,0.5181656150682843,0.1882222244376411,1.0,1.0148497105156813,1.0,94.343,93.786,94.02666666666669,-0.6360000000000099,0.5570000000000022,0,0,9
