Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,Team,Location,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,LapTime_Sec,FuelLoad,Track_Evolution_Physics,Traction_1_5,Asphalt_Grip_1_5,Asphalt_Abrasion_1_5,Track_Evolution_1_5,Tyre_Stress_1_5,Braking_1_5,Lateral_1_5,Downforce_1_5,Min_Pressure_Front_PSI,Min_Pressure_Rear_PSI,Compound_Hard,Compound_Medium,Compound_Soft,Circuit_Length_KM,Total_Laps,Cumulative_Field_Dist_KM,Compound_Hard_Int,Compound_Medium_Int,Compound_Soft_Int,Wear_Severity_Index,Track_Flow_Type,Compound_Int,E_lap,Gap_To_Car_Ahead,Grip_Aero_Balance,Total_Min_Pressure,Pressure_Delta,LatOffset_Mean,LatOffset_Std,Lap_Gap,Prev_LapTime,Lag_2,Rolling_Avg_3
0 days 01:32:01.370000,ALB,0 days 00:01:33.654000,19.0,1.0,MEDIUM,19.0,Williams,Silverstone,20.1,64.0,1001.4,False,28.9,239,3.4,93.654,70.17307692307692,4241.52,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,2120.76,1,2,3,15,0.8333333333333334,2,30.899755519672055,2.4287988783984975,0.6,49.5,3.5,0.4596481850751248,0.5650466752333569,1.0,93.615,93.707,93.88833333333332
0 days 01:33:34.810000,ALB,0 days 00:01:33.440000,20.0,1.0,MEDIUM,20.0,Williams,Silverstone,20.3,64.0,1001.2,False,29.3,217,2.7,93.44,68.07692307692307,4465.378,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,2232.689,1,2,3,15,0.8333333333333334,2,30.393558434695926,2.675328348077027,0.6,49.5,3.5,0.32991841982571063,0.38845983893407104,1.0,93.654,93.615,93.65866666666666
0 days 01:35:08.005000,ALB,0 days 00:01:33.195000,21.0,1.0,MEDIUM,21.0,Williams,Silverstone,20.2,64.0,1001.4,False,29.4,206,2.0,93.195,65.98076923076923,4689.236,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,2344.618,1,2,3,15,0.8333333333333334,2,30.354910566074242,2.6388101177932604,0.6,49.5,3.5,0.5650283899550456,0.8575597038551374,1.0,93.44,93.654,93.56966666666666
0 days 01:36:41.026000,ALB,0 days 00:01:33.021000,22.0,1.0,MEDIUM,22.0,Williams,Silverstone,20.0,64.0,1001.2,False,29.6,222,1.7,93.021,63.88461538461538,4913.094,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,2456.547,1,2,3,15,0.8333333333333334,2,30.077526188863075,2.596051716568142,0.6,49.5,3.5,0.43116369806798327,0.49020813945889563,1.0,93.195,93.44,93.42966666666666
0 days 01:38:14.143000,ALB,0 days 00:01:33.117000,23.0,1.0,MEDIUM,23.0,Williams,Silverstone,20.2,63.0,1001.4,False,29.6,214,0.8,93.117,61.78846153846153,5136.952,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,2568.476,1,2,3,15,0.8333333333333334,2,29.75142711007111,2.725494921253076,0.6,49.5,3.5,0.3117625344528933,0.3536954427632101,1.0,93.021,93.195,93.21866666666665
0 days 01:39:47.306000,ALB,0 days 00:01:33.163000,24.0,1.0,MEDIUM,24.0,Williams,Silverstone,20.4,63.0,1001.4,False,29.7,202,1.3,93.163,59.69230769230769,5360.81,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,2680.405,1,2,3,15,0.8333333333333334,2,30.517202800867388,2.812477383285578,0.6,49.5,3.5,0.345067069839901,0.4152231635535294,1.0,93.117,93.021,93.11099999999999
0 days 01:41:20.680000,ALB,0 days 00:01:33.374000,25.0,1.0,MEDIUM,25.0,Williams,Silverstone,20.5,62.0,1001.4,False,31.4,240,1.1,93.374,57.59615384615385,5584.668,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,2792.334,1,2,3,15,0.8333333333333334,2,30.381548142936076,3.301533202108427,0.6,49.5,3.5,0.2781520421640355,0.3218311558972969,1.0,93.163,93.117,93.10033333333332
0 days 01:42:53.855000,ALB,0 days 00:01:33.175000,26.0,1.0,MEDIUM,26.0,Williams,Silverstone,20.5,63.0,1001.4,False,31.7,220,2.0,93.175,55.5,5808.526,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,2904.263,1,2,3,15,0.8333333333333334,2,29.777060791723763,3.6382322857752922,0.6,49.5,3.5,0.3244108877110802,0.40053350072105415,1.0,93.374,93.163,93.218
0 days 01:44:26.981000,ALB,0 days 00:01:33.126000,27.0,1.0,MEDIUM,27.0,Williams,Silverstone,20.8,62.0,1001.4,False,32.4,209,1.2,93.126,53.40384615384615,6020.602,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,3010.301,1,2,3,15,0.8333333333333334,2,30.152161689512603,3.7719890639763816,0.6,49.5,3.5,0.27869444534640747,0.332428594965054,1.0,93.175,93.374,93.23733333333332
0 days 01:46:00.065000,ALB,0 days 00:01:33.084000,28.0,1.0,MEDIUM,28.0,Williams,Silverstone,20.8,62.0,1001.4,False,32.8,192,2.2,93.084,51.30769230769231,6244.46,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,3122.23,1,2,3,15,0.8333333333333334,2,30.159402907216137,4.119138148405527,0.6,49.5,3.5,0.3629368114122483,0.43083559390571824,1.0,93.126,93.175,93.22500000000001
