Features,MAE,RMSE,R2,MAPE,Time_s
With clustering,0.3349047397716708,0.5550694642726627,0.9972561349746515,0.3820533501035166,293.54936385154724
Without clustering,0.33448393839993623,0.5543388089806595,0.9972633538909385,0.38146664242871703,163.40136003494263
Delta (with - without),0.00042080137173455823,0.0007306552920032239,-7.218916286966248e-06,0.0005867076747995692,130.14800381660461
