Features,MAE,RMSE,R2,MAPE,Time_s
With clustering,0.33349768778290184,0.5548129310205115,0.9972586706211128,0.3804890133226286,48.78522086143494
Without clustering,0.33334476099181587,0.5545758870793528,0.9972610125878073,0.3802861355120189,43.71565008163452
Delta (with - without),0.00015292679108597218,0.00023704394115875438,-2.3419666944635154e-06,0.0002028778106096807,5.069570779800415
