Features,MAE,RMSE,R2,MAPE
With clustering,0.33822763073409606,0.559854411773613,0.9972155571683939,0.38634407545749266
Without clustering,0.3373343795079018,0.5579313398530088,0.9972346531589799,0.38528049825326294
